SalesOrderID,SalesOrderDetailID,OrderQty,ProductID,UnitPrice,UnitPriceDiscount,LineTotal,ModifiedDate
71782,110667,3,714,29.994,0,89.982,00:00.0
71782,110670,10,712,5.394,0,53.94,00:00.0
71782,110686,8,715,29.994,0,239.952,00:00.0
71782,110690,7,708,20.994,0,146.958,00:00.0
71782,110708,6,711,20.994,0,125.964,00:00.0
71782,110709,3,707,20.994,0,62.982,00:00.0
71783,110717,6,714,29.994,0,179.964,00:00.0
71783,110743,2,718,858.9,0,1717.8,00:00.0
71783,110744,17,715,27.4945,0.05,444.036175,00:00.0
71783,110745,4,716,29.994,0,119.976,00:00.0
71783,110748,11,712,5.2142,0.02,56.209076,00:00.0
71783,110749,15,711,19.2445,0.05,274.234125,00:00.0
71783,110751,10,707,20.994,0,209.94,00:00.0
71783,110752,11,708,20.2942,0.02,218.771476,00:00.0
71784,110753,2,711,20.994,0,41.988,00:00.0
71784,110760,9,714,29.994,0,269.946,00:00.0
71784,110761,10,712,5.394,0,53.94,00:00.0
71784,110764,5,716,29.994,0,149.97,00:00.0
71784,110786,8,715,29.994,0,239.952,00:00.0
71784,110794,10,707,20.994,0,209.94,00:00.0
71784,110795,12,708,20.2942,0.02,238.659792,00:00.0
71797,111038,4,711,20.994,0,83.976,00:00.0
71797,111040,1,714,29.994,0,29.994,00:00.0
71797,111047,1,718,858.9,0,858.9,00:00.0
71797,111048,4,715,29.994,0,119.976,00:00.0
71797,111049,5,716,29.994,0,149.97,00:00.0
71797,111053,6,712,5.394,0,32.364,00:00.0
71797,111075,6,707,20.994,0,125.964,00:00.0
71797,111079,2,717,858.9,0,1717.8,00:00.0
71797,111082,12,708,20.2942,0.02,238.659792,00:00.0
71816,111456,2,715,29.994,0,59.988,00:00.0
71816,111457,4,712,5.394,0,21.576,00:00.0
71845,112138,2,715,29.994,0,59.988,00:00.0
71858,112362,2,715,29.994,0,59.988,00:00.0
71858,112375,3,712,5.394,0,16.182,00:00.0
71863,112395,1,711,20.994,0,20.994,00:00.0
71867,112452,1,717,858.9,0,858.9,00:00.0
71895,112865,2,715,29.994,0,59.988,00:00.0
71897,112902,4,712,5.394,0,21.576,00:00.0
71899,112939,2,714,29.994,0,59.988,00:00.0
71902,112962,3,712,5.394,0,16.182,00:00.0
71902,112967,3,715,29.994,0,89.982,00:00.0
71902,112976,3,714,29.994,0,89.982,00:00.0
71902,112980,2,707,20.994,0,41.988,00:00.0
71902,112988,4,708,20.994,0,83.976,00:00.0
71902,112995,7,711,20.994,0,146.958,00:00.0
71936,113228,1,707,20.994,0,20.994,00:00.0
71938,113278,3,707,20.994,0,62.982,00:00.0
71938,113282,3,711,20.994,0,62.982,00:00.0
71938,113283,1,712,5.394,0,5.394,00:00.0
71938,113290,2,714,29.994,0,59.988,00:00.0
71938,113295,5,708,20.994,0,104.97,00:00.0
71938,113312,3,715,29.994,0,89.982,00:00.0
